seed,nnet,HighEnergyLevelChargeStopper,HighEnergyWantsToCharge,ChargeOnVeryLowEnergy,LowEnergyFlyToField,DroneOnEmptyField,HighEnergyIdleDronesVeryFarFromBirds,set_state,which_simulation,drones,file,redflags,charger_option,hysteresis,active_drones,total_damage,alive_drone_rate,damage_rate,charger_capacity
5006,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,4,92,0.4,0.09766454352441614,1
5006,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,150,0.0,0.1592356687898089,1
5006,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,127,0.0,0.13481953290870488,1
5006,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,2,390,0.2,0.4140127388535032,1
5006,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,1,178,0.1,0.18895966029723993,1
5006,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,21,0.0,0.022292993630573247,1
5006,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,5,90,0.5,0.09554140127388536,1
5006,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,16,0.0,0.016985138004246284,1
5006,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,1,291,0.1,0.3089171974522293,1
5006,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,10,0.0,0.010615711252653927,1
5006,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,31,0.0,0.032908704883227176,1
5006,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,24,0.0,0.025477707006369428,1
5005,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,27,0.0,0.028662420382165606,1
